datasetID,forestRemnantID,decimalLatitude,decimalLongitude,forestRemnantAreaInHectares,distanceFromMainlandInMeters,richnessAll,richnessForest
Bueno2020,Bacaba,-1.50413,-59.82236,53.35,3758.07,11,10
Bueno2020,Adeus,-1.87378,-59.6624,50.08,79.31,12,12
Bueno2020,Neto,-1.84149,-59.35228,32.87,564.33,12,11
Bueno2020,Palhal,-1.79036,-59.4479,21.37,3432.44,11,11
Bueno2020,Coata,-1.48824,-59.78702,16.94,6460.82,17,17
Bueno2020,Abusado,-1.76221,-59.67875,13.31,4785.88,5,4
Bueno2020,Piquia,-1.50647,-59.78897,13.04,7444.95,20,19
Bueno2020,Garrafa,-1.58859,-59.83555,9.42,9315.62,9,9
Bueno2020,Arrepiado,-1.51512,-59.73919,7.43,12527.32,6,6
Bueno2020,Jiquitaia,-1.83569,-59.59568,6.79,472.62,10,7
Bueno2020,Pe_Torto,-1.76646,-59.36351,4.98,228.99,14,10
Bueno2020,Torem,-1.82947,-59.63244,3.62,1399.76,6,3
Bueno2020,Panema,-1.77448,-59.69241,3.08,2882.1,4,4
Bueno2020,Cafundo,-1.50042,-59.6102,2.63,1931.98,7,6
Bueno2020,Andre,-1.58461,-59.87198,2.08,7460.39,3,3
Bueno2020,Formiga,-1.83338,-59.42115,1.54,4830.81,6,1
Bueno2020,Xibe,-1.46889,-59.8363,0.91,874.46,6,2
Bueno2020,Joaninha,-1.52272,-59.82891,0.63,6109.33,10,3
Claessens2002,i2,4.873291,-53.069097,28,479.87,126,119
Claessens2002,i20,4.869035,-53.054537,7.5,329.98,57,54
Claessens2002,i21,4.876669,-53.067222,2.5,963.54,49,45
Claessens2002,i6,4.868693,-53.060577,2.2,713.86,50,46
Claessens2002,i5,4.873229,-53.059586,2,914.27,73,68
Claessens2002,i24,4.864383,-53.074123,1.9,871.19,52,48
Claessens2002,i53,4.862442,-53.075006,1.5,843.1,37,36
Claessens2002,i44,4.857657,-53.081473,1.4,392.87,32,29
Claessens2002,i45,4.853639,-53.084423,0.9,627.6,40,38
Claessens2002,i22,4.868205,-53.057669,0.8,561.6,36,34
Claessens2002,i23,4.865637,-53.073296,0.5,913.88,36,34
Claessens2002,i40,4.847176,-53.083314,0.5,739.94,34,29
Claessens2002,i47,4.859702,-53.075205,0.5,923.6,24,22
Claessens2002,i27,4.844771,-53.080015,0.4,291.83,38,35
Claessens2002,i7,4.8655,-53.070863,0.3,1107.51,24,22
Feeley2003,Danto Machado,7.357336134,-62.87427555,189.8,1577.43,76,52
Feeley2003,Grande,7.321655988,-62.84248014,88.1,1368.64,15,14
Feeley2003,Sombrero,7.367750582,-62.85420141,21.4,2733.04,13,12
Feeley2003,Lomo,7.333074459,-62.83966752,11.4,1882.9,7,6
Feeley2003,Panorama,7.342156374,-62.84797468,10.2,1399.27,20,16
Feeley2003,Ambar,7.237654735,-62.81849513,8.3,5045.04,15,13
Feeley2003,Corral,7.335320424,-62.85653009,7.6,313.55,8,7
Feeley2003,Galbilon,7.251197864,-62.84415733,2.6,4259.67,6,5
Feeley2003,Soletario,7.333976305,-62.85346766,2.44,519.26,10,8
Feeley2003,Chuta,7.227895084,-62.83258989,2.3,5905.47,16,13
Feeley2003,Triangulo,7.354639065,-62.85969369,2.3,2460.13,15,10
Feeley2003,Tucucito,7.226160122,-62.83181583,1.52,5805.05,21,15
Feeley2003,Perimetro,7.356032925,-62.86446357,1.5,2684.17,8,5
Feeley2003,Alquila,7.204161295,-62.83515662,1.3,5284.23,12,8
Feeley2003,Palizada,7.313349036,-62.86060045,1.1,628.35,11,6
Feeley2003,Cola,7.234951823,-62.83605222,0.98,5803.48,19,10
Feeley2003,Matajei,7.204863225,-62.83401698,0.83,5219.67,11,8
Feeley2003,Bumeran,7.339364042,-62.84991199,0.7,1205.2,13,7
Feeley2003,Iguana,7.238658035,-62.83808693,0.7,5492.64,19,13
Feeley2003,Baya,7.236920929,-62.82993435,0.6,6241.09,14,10
