"datasetID","forestRemnantID","decimalLatitude","decimalLongitude","forestRemnantAreaInHectares","matrixType","timeSinceIsolationInYears","firstYearSurvey"
"Bispo2010","g6",-20.47361111,-50.29333333,1643.49,"terrestrial",NA,2008
"Bispo2010","g7",-20.54305556,-49.24333333,647.37,"terrestrial",NA,2008
"Bispo2010","g8",-20.48472222,-48.8225,468.9,"terrestrial",NA,2008
"Bispo2010","g9",-20.09055556,-48.05444444,2192.76,"terrestrial",NA,2007
"Bispo2010","p1",-21.62055556,-48.53722222,116.64,"terrestrial",NA,2007
"Bispo2010","p2",-20.74277778,-49.92805556,66.8,"terrestrial",NA,2007
"Bispo2010","p3",-20.07833333,-49.92361111,103.05,"terrestrial",NA,2007
"Bispo2010","p4",-20.05083333,-50.08666667,153.99,"terrestrial",NA,2007
"Bispo2010","p5",-20.00361111,-50.43388889,167.67,"terrestrial",NA,2008
"Bispo2010","p6",-20.28833333,-49.05027778,88.29,"terrestrial",NA,2008
"Bispo2010","p7",-20.32111111,-49.50472222,89.73,"terrestrial",NA,2008
"Bispo2010","p8",-20.63722222,-48.75166667,58.59,"terrestrial",NA,2008
"Bispo2010","p9",-21.40222222,-48.68722222,96.48,"terrestrial",NA,2008
"Boesing2018MG","P02a",-21.893527,-46.716407,91.92,"terrestrial",NA,2014
"Boesing2018MG","P02b",-21.903241,-46.722917,325.02,"terrestrial",NA,2014
"Boesing2018MG","P02c",-21.918017,-46.72544,325.02,"terrestrial",NA,2014
"Boesing2018MG","P02d",-21.907114,-46.724968,325.02,"terrestrial",NA,2014
"Boesing2018MG","P09a",-21.623809,-46.522063,9.22,"terrestrial",NA,2014
"Boesing2018MG","P09b",-21.636142,-46.525002,6.14,"terrestrial",NA,2014
"Boesing2018MG","P09c",-21.636164,-46.547702,12.17,"terrestrial",NA,2014
"Boesing2018MG","P09d",-21.630499,-46.529493,5.98,"terrestrial",NA,2014
"Boesing2018MG","P10a",-21.768312,-46.460729,20.96,"terrestrial",NA,2014
"Boesing2018MG","P10b",-21.774978,-46.449844,29.37,"terrestrial",NA,2014
"Boesing2018MG","P10c",-21.781053,-46.442096,58.04,"terrestrial",NA,2014
"Boesing2018MG","P10d",-21.783675,-46.467287,63.44,"terrestrial",NA,2014
"Boesing2018MG","P11a",-21.423537,-46.692221,57.01,"terrestrial",NA,2014
"Boesing2018MG","P11b",-21.416016,-46.697199,223.1,"terrestrial",NA,2014
"Boesing2018MG","P11c",-21.429009,-46.699715,28.05,"terrestrial",NA,2014
"Boesing2018MG","P11d",-21.427136,-46.716848,5.8,"terrestrial",NA,2014
"Boesing2018MG","P12a",-21.494243,-46.720693,74.6,"terrestrial",NA,2014
"Boesing2018MG","P12b",-21.498969,-46.713165,74.6,"terrestrial",NA,2014
"Boesing2018MG","P12c",-21.482757,-46.707704,250.56,"terrestrial",NA,2014
"Boesing2018MG","P12d",-21.490486,-46.69616,250.56,"terrestrial",NA,2014
